ic calculation: SQRT
pos	Ic
61.80	1.115e+00
61.90	7.817e-01
62.00	8.666e-01
62.10	7.248e-01
62.30	9.170e-01
62.40	6.932e-01
62.50	4.580e-01
62.60	7.475e-01
62.80	9.295e-01
62.90	6.941e-01
63.00	6.831e-01
63.20	6.369e-01
63.30	6.667e-01
63.40	6.824e-01
63.60	8.798e-01
63.70	8.252e-01
63.80	6.912e-01
64.00	8.483e-01
64.10	9.262e-01
64.20	7.485e-01
64.40	8.249e-01
64.50	9.767e-01
64.60	8.730e-01
64.80	7.038e-01
64.90	7.610e-01
65.10	7.662e-01
65.20	5.031e-01
65.30	7.920e-01
65.50	6.784e-01
65.60	7.640e-01
65.70	5.932e-01
65.90	7.185e-01
66.00	5.504e-01
66.10	6.209e-01
66.30	1.016e+00
66.40	1.051e+00
66.60	8.409e-01
66.70	8.152e-01
66.80	6.770e-01
67.00	7.217e-01
67.10	5.439e-01
67.30	6.517e-01
67.40	8.202e-01
67.60	7.795e-01
67.70	9.930e-01
67.80	1.120e+00
68.00	8.800e-01
68.10	8.325e-01
68.30	8.158e-01
68.40	8.662e-01
68.60	9.055e-01
68.70	7.166e-01
68.90	8.058e-01
69.00	6.794e-01
69.20	7.783e-01
69.30	7.590e-01
69.50	8.443e-01
69.60	8.393e-01
69.70	7.435e-01
69.90	8.503e-01
70.00	6.768e-01
70.20	8.231e-01
70.30	5.096e-01
70.50	5.942e-01
70.60	1.011e+00
70.80	1.073e+00
70.90	6.705e-01
71.10	7.513e-01
71.20	6.967e-01
71.40	7.347e-01
71.50	6.476e-01
71.70	6.629e-01
71.80	8.180e-01
72.00	8.857e-01
72.10	7.130e-01
72.30	5.512e-01
72.50	7.230e-01
72.60	7.715e-01
72.80	9.763e-01
72.90	9.679e-01
73.10	9.876e-01
73.30	7.934e-01
73.40	7.151e-01
73.60	7.165e-01
73.70	6.358e-01
73.90	8.008e-01
74.00	9.899e-01
74.20	7.085e-01
74.30	7.016e-01
74.50	9.918e-01
74.60	5.519e-01
74.80	6.404e-01
75.00	7.882e-01
75.10	6.908e-01
75.30	6.769e-01
75.50	7.227e-01
75.60	1.060e+00
75.80	7.972e-01
76.00	8.938e-01
76.20	9.465e-01
76.30	8.789e-01
76.50	8.159e-01
76.60	7.306e-01
76.80	6.944e-01
77.00	7.827e-01
77.10	8.409e-01
77.30	5.996e-01
77.50	8.479e-01
77.60	9.437e-01
77.80	7.295e-01
77.90	7.044e-01
78.10	6.248e-01
78.30	6.757e-01
78.40	7.528e-01
78.60	7.398e-01
78.80	9.749e-01
78.90	7.018e-01
79.10	6.435e-01
79.30	1.013e+00
79.50	7.956e-01
79.60	8.515e-01
79.80	6.552e-01
80.00	1.102e+00
80.20	8.024e-01
80.30	8.258e-01
80.50	5.203e-01
80.70	6.823e-01
80.80	7.388e-01
81.00	5.303e-01
81.20	7.373e-01
81.40	6.677e-01
81.50	9.329e-01
81.70	7.922e-01
81.90	7.497e-01
82.10	7.000e-01
82.20	5.928e-01
82.40	8.478e-01
82.60	6.812e-01
82.80	5.125e-01
83.00	1.048e+00
83.10	6.198e-01
83.30	7.655e-01
83.50	5.244e-01
83.70	8.489e-01
83.90	8.609e-01
84.00	7.147e-01
84.20	8.283e-01
84.40	7.141e-01
84.60	8.589e-01
84.80	8.002e-01
85.00	5.344e-01
85.10	9.055e-01
85.30	4.542e-01
85.50	7.942e-01
85.70	8.377e-01
85.90	6.869e-01
86.00	7.270e-01
86.20	8.820e-01
86.40	7.528e-01
86.60	6.668e-01
86.80	6.909e-01
87.00	8.177e-01
87.20	7.090e-01
87.30	7.111e-01
87.50	6.785e-01
87.70	8.979e-01
87.90	5.182e-01
88.10	9.484e-01
88.30	7.019e-01
88.50	9.064e-01
88.70	6.157e-01
88.90	8.290e-01
89.10	8.198e-01
89.30	7.240e-01
89.40	9.600e-01
89.60	1.065e+00
89.80	6.739e-01
90.00	8.498e-01
90.20	7.047e-01
90.40	7.372e-01
90.60	1.091e+00
90.80	7.678e-01
91.00	7.026e-01
91.20	9.121e-01
91.40	7.756e-01
91.60	8.928e-01
91.80	6.473e-01
92.00	7.124e-01
92.20	7.460e-01
92.30	6.303e-01
92.50	5.063e-01
92.70	6.749e-01
92.90	5.829e-01
93.10	7.338e-01
93.30	7.973e-01
93.50	5.623e-01
93.70	8.499e-01
93.90	8.164e-01
94.10	7.521e-01
94.30	6.831e-01
94.50	6.752e-01
94.70	8.490e-01
94.90	6.402e-01
95.10	7.755e-01
95.30	8.205e-01
95.50	7.172e-01
95.70	8.287e-01
95.90	6.474e-01
96.20	9.074e-01
96.40	7.453e-01
96.60	5.545e-01
96.80	7.053e-01
97.00	7.393e-01
97.20	6.510e-01
97.40	9.596e-01
97.60	7.663e-01
97.80	5.852e-01
98.00	5.544e-01
98.20	8.386e-01
98.40	5.596e-01
98.60	7.795e-01
98.80	7.302e-01
99.00	6.154e-01
99.30	8.753e-01
99.50	7.751e-01
99.70	5.868e-01
99.90	5.506e-01
100.10	5.911e-01
100.30	8.308e-01
100.50	5.920e-01
100.70	4.337e-01
101.00	5.134e-01
101.20	9.539e-01
101.40	6.298e-01
101.60	4.482e-01
101.80	8.110e-01
102.00	8.222e-01
102.20	8.505e-01
102.50	5.536e-01
102.70	7.774e-01
